ID,여정단계,화면,영역/컴포넌트,위치(파일:라인),문구유형,노출조건/트리거,"현재 문구 (ASIS)
❌ 절대 편집 금지 ❌",동적변수,최종본,비고,"글자수·공간제약
기존 글자수를 유지하는 방향으로",상태
128,5,계약서,PenaltyList,components/contract/PenaltyList.tsx:209,버튼,벌칙 추가,벌칙 추가,,벌칙 추가,,,
129,5,계약서,TierSettings,components/contract/TierSettings.tsx:209,제목,섹션,벌칙 강도,,벌칙 단계,,,
130,5,계약서,TierSettings,components/contract/TierSettings.tsx:224,결과표시,단계,{tier.tier}단계,{tier},,,,
131,5,계약서,TierSettings,components/contract/TierSettings.tsx:261,라벨,벌칙 수,벌칙,,벌칙,,,
132,5,계약서,TierSettings,components/contract/TierSettings.tsx:269,라벨,단위,개,,,단위 일관성,,
133,5,계약서,TierSettings,components/contract/TierSettings.tsx:275,툴팁,단계 삭제 aria,{tier.tier}단계 벌칙 강도 삭제,{tier},,,,
134,5,계약서,TierSettings,components/contract/TierSettings.tsx:294,유효성,단계 추가 불가,더 이상 추가할 수 없습니다. 입력값을 확인해주세요,,더 이상 추가할 수 없어요. 입력값을 확인해주세요.,,,
135,5,계약서,TierSettings,components/contract/TierSettings.tsx:305,버튼,단계 추가,단계 추가,,단계 추가,,,
136,5,계약서,MemberSignList,components/contract/MemberSignList.tsx:101,라벨,현재 사용자,나,,(나),,,
137,5,계약서,MemberSignList,components/contract/MemberSignList.tsx:103,라벨,방장 표시,(방장),,"(방장)
","로직 구현하여 내가 방장일 때, (나, 방장)",,
138,5,계약서,MemberSignList,components/contract/MemberSignList.tsx:116,버튼,서명한 경우,취소,,취소,,,
139,5,계약서,MemberSignList,components/contract/MemberSignList.tsx:116,버튼,미서명,서명,,서명,,,
140,5,계약서,MemberSignList,components/contract/MemberSignList.tsx:189,툴팁,멤버 옵션 aria,{m.nickname} 멤버 옵션,{nickname},,,,
141,5,계약서,MemberSignList,components/contract/MemberSignList.tsx:199,버튼,멤버 옵션,강제 퇴장,,강제 퇴장,용어통일: 퇴장/강퇴,,
142,5,계약서,MemberSignList(강퇴),components/contract/MemberSignList.tsx:50,확인다이얼로그,강퇴,{nickname} 님을 강제 퇴장 하시겠어요?,{nickname},{nickname} 님을 강제 퇴장시키겠어요?,,,
143,5,계약서,MemberSignList(강퇴),components/contract/MemberSignList.tsx:51,확인다이얼로그,강퇴 설명,강퇴당한 멤버는 재입장이 안됩니다.,,강제 퇴장된 멤버는 재입장이 안돼요.,,,
144,5,계약서,MemberSignList(강퇴),components/contract/MemberSignList.tsx:52,버튼,강퇴 확인,퇴장시키기,,강제 퇴장시키기,,,
145,5,계약서,MemberSignList(강퇴),components/contract/MemberSignList.tsx:53,버튼,강퇴 취소,아니요,,아니요,,,
146,5,계약서,MemberSignList,components/contract/MemberSignList.tsx:212-213,본문/설명,서명 현황,{signedCount} / {memberCount}명 서명 완료,{count},,,,
147,5,계약서,MemberSignList,components/contract/MemberSignList.tsx:215,본문/설명,서명 안내,서명하지 않으면 강퇴되요,,서명하지 않으면 강퇴돼요.,강퇴돼요' 맞춤법 검토,,
148,5,계약서,EditPermissionToggle,components/contract/EditPermissionToggle.tsx:33,제목,섹션,계약서 편집 권한,,각서 편집 권한,,,
149,5,계약서,EditPermissionToggle,components/contract/EditPermissionToggle.tsx:50,본문/설명,권한 상태(방장),방장만 편집 가능,,방장만 편집 가능,,,
150,5,계약서,EditPermissionToggle,components/contract/EditPermissionToggle.tsx:50,본문/설명,권한 상태(전체),모든 멤버가 편집 가능,,모든 멤버가 편집 가능,,,
151,5,계약서,EditPermissionToggle,components/contract/EditPermissionToggle.tsx:53,본문/설명,권한 설명,OFF 시 모든 멤버가 편집할 수 있어요.,,OFF 시 모든 멤버가 편집할 수 있어요.,,,
152,5,계약서,ContractActions,components/contract/ContractActions.tsx:81,버튼,저장,저장,,저장,,,
153,5,계약서,ContractActions,components/contract/ContractActions.tsx:92,버튼,불러오기,불러오기,,불러오기,,,
154,5,계약서,ContractActions,components/contract/ContractActions.tsx:59,토스트/알림,저장 성공,"""{title}"" 저장됨",{title},"""{title}"" 저장 성공",,,
155,5,계약서,ContractActions,components/contract/ContractActions.tsx:61,토스트/알림,저장 실패,저장 실패,,저장 실패,,,
156,5,계약서,SaveContractDialog,components/contract/SaveContractDialog.tsx:74,제목,저장 다이얼로그,계약서 저장,,각서 저장,,,
157,5,계약서,SaveContractDialog,components/contract/SaveContractDialog.tsx:78,플레이스홀더,이름 입력,계약서 이름을 입력해주세요,,각서의 제목을 입력해주세요.,,,
158,5,계약서,SaveContractDialog,components/contract/SaveContractDialog.tsx:90,본문/설명,이름 중복,같은 제목의 저장본이 있어요. 덮어쓰시겠습니까?,,같은 제목의 각서가 있어요. 덮어쓰시겠어요?,,,
159,5,계약서,SaveContractDialog,components/contract/SaveContractDialog.tsx:91,본문/설명,저장 안내,이름을 입력하고 저장하면 새 계약서로 저장되요.,,제목을 입력하고 저장하면 새 각서로 저장돼요.,저장돼요' 맞춤법 검토,,
160,5,계약서,SaveContractDialog,components/contract/SaveContractDialog.tsx:102,버튼,취소,취소,,취소,,,
161,5,계약서,SaveContractDialog,components/contract/SaveContractDialog.tsx:110,버튼,저장 중,저장 중...,,저장 중...,,,
162,5,계약서,SaveContractDialog,components/contract/SaveContractDialog.tsx:110,버튼,덮어쓰기,덮어쓰기,,덮어쓰기,,,
163,5,계약서,SaveContractDialog,components/contract/SaveContractDialog.tsx:110,버튼,저장,저장,,저장,,,
164,5,계약서,LoadContractDialog,components/contract/LoadContractDialog.tsx:155,제목,불러오기 다이얼로그,저장된 계약서 불러오기,,저장된 각서 불러오기,,,
165,5,계약서,LoadContractDialog,components/contract/LoadContractDialog.tsx:157,본문/설명,불러오기 설명,"현재 작성된 내용이 덮어씌워지고,\n다른 멤버에게도 즉시 반영됩니다.",,"현재 작성된 내용이 덮어씌워지고,\n다른 멤버에게도 즉시 반영돼요.",,,
166,5,계약서,LoadContractDialog,components/contract/LoadContractDialog.tsx:161,로딩,목록 로딩,로딩 중...,,로딩 중...,,,
167,5,계약서,LoadContractDialog,components/contract/LoadContractDialog.tsx:165,빈상태,목록 없음,저장된 계약서가 없어요.,,저장된 각서가 없어요.,,,
168,5,계약서,LoadContractDialog,components/contract/LoadContractDialog.tsx:192,본문/설명,미리보기,집중 {focusMin}분 · 휴식 {breakMin}분 · {rounds}회 · 벌칙 {n}개,{values},,,,
169,5,계약서,LoadContractDialog,components/contract/LoadContractDialog.tsx:201,라벨,상세 섹션,벌칙 목록,,벌칙 목록,,,
170,5,계약서,LoadContractDialog,components/contract/LoadContractDialog.tsx:208,툴팁,삭제 aria,{item.title} 삭제,{title},,,,
171,5,계약서,LoadContractDialog,components/contract/LoadContractDialog.tsx:219,빈상태,벌칙 없음,등록된 벌칙이 없어요.,,등록된 벌칙이 없어요.,,,
172,5,계약서,LoadContractDialog,components/contract/LoadContractDialog.tsx:115,확인다이얼로그,삭제,{title}을 삭제하시겠습니까?,{title},{title}을 삭제하시겠어요?,조사 처리(을/를) 검토,,
173,5,계약서,LoadContractDialog,components/contract/LoadContractDialog.tsx:116,버튼,삭제 확인,삭제,,삭제,,,
174,5,계약서,LoadContractDialog,components/contract/LoadContractDialog.tsx:129,토스트/알림,삭제 성공,삭제됨,,삭제 성공,,,
175,5,계약서,LoadContractDialog,components/contract/LoadContractDialog.tsx:131,토스트/알림,삭제 실패,삭제 실패,,삭제 실패,,,
176,5,계약서,LoadContractDialog,components/contract/LoadContractDialog.tsx:242,라벨,옵션 섹션,가져오기 옵션,,가져오기 옵션,,,
177,5,계약서,LoadContractDialog,components/contract/LoadContractDialog.tsx:250,라벨,체크박스,전체 불러오기,,전체 불러오기,,,
178,5,계약서,LoadContractDialog,components/contract/LoadContractDialog.tsx:265,라벨,체크박스,시간 설정 (집중/휴식/반복),,시간 설정 (집중/휴식/반복),,,
179,5,계약서,LoadContractDialog,components/contract/LoadContractDialog.tsx:279,라벨,체크박스,벌칙 강도,,벌칙 단계,,,
180,5,계약서,LoadContractDialog,components/contract/LoadContractDialog.tsx:294,라벨,체크박스,벌칙 목록,,벌칙 목록,,,
